Clase A 58.47.224.28
Clase A 63.155.230.207
Clase A 48.219.226.116
Clase A 5.98.56.159
Clase A 49.80.23.77
Clase A 14.35.194.44
Clase A 28.176.204.57
Clase A 14.78.121.224
Clase A 104.7.119.232
Clase A 50.139.204.127
Clase A 93.251.98.67
Clase B 182.30.244.201
Clase C 222.253.53.85
Clase C 214.106.120.74
Clase C 214.195.66.149
Clase C 216.107.191.89
La Clase A tiene mayor cantidades de direcciones con 11direcciones(s)
,La Clase B tiene menor cantidad de direcciones con 1 direccione(s)
